com.samsung.shealth.calories_burned,6060029,2
tef_calorie,active_time,pkg_name,update_time,create_time,datauuid,rest_calorie,active_calorie,day_time,deviceuuid
0.0,5700830,com.sec.android.app.shealth,2018-02-04 05:26:07.917,2018-02-03 07:06:10.478,2ca1351b-7ac6-4617-8cd1-a2090c35dfbd,1706.945,409.21304,1517616000000,dKs3VVxkvQ
0.0,4138017,com.sec.android.app.shealth,2018-02-03 07:06:17.684,2018-02-03 07:06:17.684,adc3b244-36a7-424c-8f86-d133deaffdb3,1740.0016,285.65363,1515283200000,dKs3VVxkvQ
0.0,7945274,com.sec.android.app.shealth,2018-02-03 07:06:17.755,2018-02-03 07:06:17.755,b2ce1c64-5a64-42e6-b3ad-beb0cccb2b27,1659.4707,553.36975,1515369600000,dKs3VVxkvQ
0.0,7181777,com.sec.android.app.shealth,2018-02-03 07:06:17.832,2018-02-03 07:06:17.832,c291904e-c624-4215-8b89-7ba91eef47dc,1675.6201,492.17065,1515456000000,dKs3VVxkvQ
0.0,11258967,com.sec.android.app.shealth,2018-02-03 07:06:17.889,2018-02-03 07:06:17.889,d714d76f-70f5-45e9-8212-ee05ab66f926,1589.3795,981.5676,1515542400000,dKs3VVxkvQ
0.0,7125386,com.sec.android.app.shealth,2018-02-03 07:06:17.927,2018-02-03 07:06:17.927,50f63995-9769-4ea4-a1c1-4e43261ecd82,1676.813,494.08792,1515628800000,dKs3VVxkvQ
0.0,10183790,com.sec.android.app.shealth,2018-02-03 07:06:17.986,2018-02-03 07:06:17.986,5cc9322f-9304-4ece-bf3b-cf5d683dbcca,1612.1216,733.5425,1515715200000,dKs3VVxkvQ
0.0,6284002,com.sec.android.app.shealth,2018-02-03 07:06:18.027,2018-02-03 07:06:18.027,8baba9de-da2e-4a42-af2b-f184fc552a78,1694.6097,426.0882,1515801600000,dKs3VVxkvQ
0.0,2609618,com.sec.android.app.shealth,2018-02-03 07:06:18.086,2018-02-03 07:06:18.086,d2b7576e-1bc7-4ae9-b121-94d5eb710497,1772.3302,181.13998,1515888000000,dKs3VVxkvQ
0.0,10882024,com.sec.android.app.shealth,2018-02-03 07:06:18.151,2018-02-03 07:06:18.151,1dd473cc-fa21-4f1c-bb3d-b2c71d03a4f0,1597.3527,984.2664,1515974400000,dKs3VVxkvQ
0.0,8307333,com.sec.android.app.shealth,2018-02-03 07:06:18.194,2018-02-03 07:06:18.194,7efe8a3f-367e-4bcc-8c11-602f79838c68,1651.8123,585.782,1516060800000,dKs3VVxkvQ
0.0,9630645,com.sec.android.app.shealth,2018-02-03 07:06:18.252,2018-02-03 07:06:18.252,c8938e1e-169a-4040-a9b5-9dac34f9cae1,1623.8218,676.96405,1516147200000,dKs3VVxkvQ
0.0,6559517,com.sec.android.app.shealth,2018-02-03 07:06:18.336,2018-02-03 07:06:18.336,c19118e9-90cb-4e81-b85c-bccfc0ea9f4d,1688.7821,473.65195,1516233600000,dKs3VVxkvQ
0.0,6941494,com.sec.android.app.shealth,2018-02-03 07:06:18.388,2018-02-03 07:06:18.388,4ee2952b-bc5f-4b96-b2dd-170c60d992c9,1680.7025,466.66455,1516320000000,dKs3VVxkvQ
0.0,8385703,com.sec.android.app.shealth,2018-02-03 07:06:18.439,2018-02-03 07:06:18.439,cfceb208-4d83-4bcb-8759-a1e8338a17cf,1650.1547,608.0609,1516406400000,dKs3VVxkvQ
