com.samsung.health.heart_rate,6060029,8
create_time,time_offset,max,heart_beat_count,custom,end_time,heart_rate,deviceuuid,start_time,pkg_name,update_time,min,binning_data,datauuid,comment
2017-12-26 05:30:16.956,UTC-0600,0.0,1,,2017-12-26 05:30:16.771,74.0,3CaTqKloqY,2017-12-26 05:30:16.771,com.sec.android.app.shealth,2017-12-26 05:30:16.956,0.0,,764c6829-dca6-a85c-6075-d9a1dd94b088,
2017-12-26 05:30:33.580,UTC-0600,0.0,1,,2017-12-26 05:30:29.390,70.0,3CaTqKloqY,2017-12-26 05:30:29.390,com.sec.android.app.shealth,2017-12-26 05:30:33.580,0.0,,fdee22dc-22cf-2632-33f4-4897aa3be951,
2017-12-26 05:56:09.270,UTC-0600,0.0,1,,2017-12-26 05:40:58.620,56.0,3CaTqKloqY,2017-12-26 05:40:58.620,com.sec.android.app.shealth,2017-12-26 05:56:09.270,0.0,,835d96b8-4576-5aca-dd30-1a88f56e32e8,
2017-12-26 05:56:09.279,UTC-0600,0.0,1,,2017-12-26 05:50:29.320,55.0,3CaTqKloqY,2017-12-26 05:50:29.320,com.sec.android.app.shealth,2017-12-26 05:56:09.279,0.0,,96cc325a-5227-6e38-3b09-405b855774c3,
2017-12-26 06:15:59.267,UTC-0600,0.0,1,,2017-12-26 06:00:51.940,56.0,3CaTqKloqY,2017-12-26 06:00:51.940,com.sec.android.app.shealth,2017-12-26 06:15:59.267,0.0,,a9cd1b81-35a9-7062-0540-7a02e8eb8091,
2017-12-26 06:15:59.272,UTC-0600,0.0,1,,2017-12-26 06:10:58.640,58.0,3CaTqKloqY,2017-12-26 06:10:58.640,com.sec.android.app.shealth,2017-12-26 06:15:59.272,0.0,,75243976-bac0-ee97-01a6-5d1d1a6157dd,
2017-12-26 06:36:00.259,UTC-0600,0.0,1,,2017-12-26 06:20:29.381,59.0,3CaTqKloqY,2017-12-26 06:20:29.381,com.sec.android.app.shealth,2017-12-26 06:36:00.259,0.0,,74bb4db2-6f0e-8210-054b-f631fe6fae59,
2017-12-26 06:36:00.274,UTC-0600,0.0,1,,2017-12-26 06:30:29.381,58.0,3CaTqKloqY,2017-12-26 06:30:29.381,com.sec.android.app.shealth,2017-12-26 06:36:00.274,0.0,,8ff64ab1-7933-f081-cfbc-1aa2e799bc24,
2017-12-26 06:56:02.257,UTC-0600,0.0,1,,2017-12-26 06:40:29.361,55.0,3CaTqKloqY,2017-12-26 06:40:29.361,com.sec.android.app.shealth,2017-12-26 06:56:02.257,0.0,,58fcc029-5ac3-498d-ac68-9342f24a5859,
2017-12-26 06:56:02.271,UTC-0600,0.0,1,,2017-12-26 06:50:56.561,57.0,3CaTqKloqY,2017-12-26 06:50:56.561,com.sec.android.app.shealth,2017-12-26 06:56:02.271,0.0,,bf4775e0-40dc-ab0a-e1b5-3f52770d5e06,
2017-12-26 07:15:59.246,UTC-0600,0.0,1,,2017-12-26 07:00:53.001,52.0,3CaTqKloqY,2017-12-26 07:00:53.001,com.sec.android.app.shealth,2017-12-26 07:15:59.246,0.0,,72d9b357-7757-3bc5-9f82-c349d0b34c21,
2017-12-26 07:15:59.255,UTC-0600,0.0,1,,2017-12-26 07:10:57.301,51.0,3CaTqKloqY,2017-12-26 07:10:57.301,com.sec.android.app.shealth,2017-12-26 07:15:59.255,0.0,,16eb09cb-5aa2-35b0-4c63-1810b18db298,
2017-12-26 07:37:14.289,UTC-0600,0.0,1,,2017-12-26 07:30:29.301,54.0,3CaTqKloqY,2017-12-26 07:30:29.301,com.sec.android.app.shealth,2017-12-26 07:37:14.289,0.0,,0f779e9a-af26-c016-a861-a741315bc09f,
2017-12-26 09:55:48.286,UTC-0600,0.0,1,,2017-12-26 09:50:29.301,48.0,3CaTqKloqY,2017-12-26 09:50:29.301,com.sec.android.app.shealth,2017-12-26 09:55:48.286,0.0,,93a5a8a2-1401-eede-35a1-56110e6e805b,
2017-12-26 10:56:44.276,UTC-0600,0.0,1,,2017-12-26 10:40:56.780,48.0,3CaTqKloqY,2017-12-26 10:40:56.780,com.sec.android.app.shealth,2017-12-26 10:56:44.276,0.0,,7ba09843-ce51-a008-b324-56394fb68bd7,
